Year,rate,averageRating,Wikipedia movie ID,Freebase movie ID,Movie name,Movie box office revenue,Movie runtime,Movie languages,Movie countries,Movie genres,Movie release year,startYear,Primary Country,Adjusted_Revenue,Log_Revenue
1995.0,1.697529589135234,8.0,189776,/m/019z8l,Underground,171082.0,170.0,"{""/m/064_8sq"": ""French Language"", ""/m/06x8y"": ""Serbo-Croatian"", ""/m/04306rv"": ""German Language"", ""/m/02h40lc"": ""English Language"", ""/m/0k0sb"": ""Serbian language""}","['Serbia and Montenegro', 'Bulgaria', 'France', 'Germany', 'Serbia', 'Hungary', 'Yugoslavia']","['World cinema', 'Drama', 'Comedy', 'War film', 'Black comedy', 'Political drama']",1995,1995,Serbia and Montenegro,290416.7571684341,12.04990409784293
2009.0,1.2057476095720854,7.0,24201336,/m/07k4bj6,Like dandelion dust,352810.0,100.0,"{""/m/02h40lc"": ""English Language""}",['United States of America'],"['Drama', 'Indie', 'Film adaptation']",2009,2009,United States of America,425399.81413312745,12.773687781767036
1989.0,2.0861263454255856,7.0,2055559,/m/06hz52,Valmont,1132112.0,130.0,"{""/m/02h40lc"": ""English Language""}","['France', 'United States of America', 'Kingdom of Great Britain']","['Indie', 'World cinema', 'Costume drama', 'Period piece', 'Drama', 'Film adaptation', 'Romantic drama', 'Romance Film']",1989,1989,France,2361728.6691724504,13.939596356084804
1998.0,1.5856626139566985,6.9,16749397,/m/0404xj0,This is my father,1078737.0,119.0,"{""/m/02h40lc"": ""English Language""}","['Ireland', 'Canada']","['Indie', 'World cinema', 'Period piece', 'Drama', 'Romantic drama', 'Romance Film']",1998,1998,Ireland,1710512.9311918071,13.891302397331808
2007.0,1.246559754660881,6.6,14281617,/m/03c_5jb,Beyond the years,902591.0,106.0,"{""/m/02hwhyv"": ""Korean Language""}",['South Korea'],"['Drama', 'Art film', 'World cinema']",2007,2007,South Korea,1125133.6155191194,13.713025903051912
1924.0,15.10585770715428,7.7,3371111,/m/0983w1,Girl shy,1550000.0,80.0,"{""/m/06ppq"": ""Silent film"", ""/m/02h40lc"": ""English Language""}",['United States of America'],"['Romantic comedy', 'Silent film', 'Indie', 'Chase Movie', 'Black-and-white', 'Comedy', 'Romance Film']",1924,1924,United States of America,23414079.446089134,14.253766134056512
1997.0,1.6110332157800056,8.2,916576,/m/03pnwz,Children of heaven,1628579.0,88.0,"{""/m/032f6"": ""Persian Language""}",['Iran'],"['Family Film', 'Drama', 'Adventure', 'World cinema', 'Comedy']",1997,1997,Iran,2623694.8635217855,14.303219027453455
1930.0,15.470950648935654,7.7,1588930,/m/05drr_,The blue angel,77982.0,105.0,"{""/m/04306rv"": ""German Language"", ""/m/02h40lc"": ""English Language""}","['Weimar Republic', 'Germany']","['Drama', 'Musical', 'Pre-Code', 'Black-and-white']",1930,1930,Weimar Republic,1206455.6735053002,11.264246133199507
2001.0,1.4596416173771387,6.8,2520368,/m/07klvh,Lost and delirious,307233.0,100.0,"{""/m/02h40lc"": ""English Language""}",['Canada'],"['LGBT', 'Indie', 'Gay Themed', 'Gay', 'Gay Interest', 'Coming of age', 'Film adaptation', 'Drama', 'Romantic drama', 'Romance Film', 'Teen']",2001,2001,Canada,448450.0730316305,12.635364951214731
2008.0,1.200924619133797,7.6,17294536,/m/043lnx9,It might get loud,1807506.0,97.0,"{""/m/02h40lc"": ""English Language""}",['United States of America'],"['Music', 'Rockumentary', 'Instrumental Music', 'Biography', 'Documentary']",2008,2008,United States of America,2170678.4546320527,14.407459105759978
2001.0,1.4596416173771387,7.1,1010466,/m/03yysc,Dark blue world,258771.0,112.0,"{""/m/01wgr"": ""Czech Language"", ""/m/04306rv"": ""German Language"", ""/m/02h40lc"": ""English Language"", ""/m/06zvx"": ""Slovak Language""}","['Italy', 'Czech Republic', 'United Kingdom', 'Germany']","['Buddy film', 'Action', 'Drama', 'World cinema', 'War film']",2001,2001,Italy,377712.9209702996,12.463702644101957
1938.0,18.33017260514547,7.8,73376,/m/0jq56,Bringing up baby,1109000.0,102.0,"{""/m/02h40lc"": ""English Language""}",['United States of America'],"['Romantic comedy', 'Romance Film', 'Screwball comedy', 'Comedy']",1938,1938,United States of America,20328161.419106327,13.918970168045353
2002.0,1.4366551352137191,7.1,434738,/m/028306,Yossi & jagger,267005.0,65.0,"{""/m/03hkp"": ""Hebrew Language""}",['Israel'],"['LGBT', 'World cinema', 'War film', 'Gay', 'Gay Interest', 'Drama', 'Gay Themed', 'Romantic drama', 'Romance Film']",2002,2002,Israel,383594.1043777391,12.49502640904001
1934.0,19.28527960263392,6.9,61160,/m/0glkf,The barretts of wimpole street,1258000.0,110.0,"{""/m/02h40lc"": ""English Language""}",['United States of America'],"['Romance Film', 'Drama', 'Biographical film', 'Black-and-white']",1934,1934,United States of America,24260881.74011347,14.045034511154766
1990.0,1.979247007045148,7.4,1430376,/m/050xtv,Life is sweet,1516414.0,102.0,"{""/m/02h40lc"": ""English Language""}",['United Kingdom'],"['Ensemble Film', 'Comedy-drama', 'Domestic Comedy']",1990,1990,United Kingdom,3001357.870941361,14.23185955442451
